,station,lon,lat
584,DTS,-86.4674,30.3934
585,EGI,-86.5229,30.6503
586,VPS,-86.5254,30.4832
587,FHB,-81.4612,30.6118
588,FXE,-80.17,26.2
589,FMY,-81.8614,26.585
590,FLL,-80.15,26.07
591,RSW,-81.7567,26.5381
592,FPR,-80.3767,27.4981
593,GNV,-82.276,29.6917
594,HWO,-80.2412,25.9996
595,HST,-80.3837,25.4884
596,HRT,-86.6893,30.4278
597,IMM,-81.401,26.4332
598,INF,-82.3182,28.8036
599,X40,-82.3179,28.8063
600,CRG,-81.5147,30.3361
601,JAX,-81.6879,30.4941
602,NIP,-81.6747,30.2342
603,VQQ,-81.8767,30.2187
604,NEN,-81.867,30.3495
605,42J,-82.0475,29.8448
606,EYW,-81.7596,24.5561
607,NQX,-81.6888,24.5757
608,ISM,-81.44,28.29
609,LCQ,-82.5769,30.1821
610,LAL,-82.0186,27.9889
611,X07,-81.6167,27.8934
612,LNA,-80.0848,26.5925
613,LEE,-81.81,28.82
614,24J,-83.0247,30.3001
615,MCF,-82.52,27.85
616,MTH,-81.0514,24.7262
617,MKY,-81.6725,25.995
618,MAI,-85.1839,30.8356
619,NRB,-81.4245,30.3914
620,MLB,-80.6453,28.1028
621,MIA,-80.3169,25.788
622,TMB,-80.4347,25.6423
623,OPF,-80.2828,25.9102
624,NDZ,-87.0231,30.7044
625,APF,-81.7753,26.1525
626,TTS,-80.6944,28.6149
627,EVB,-80.9489,29.0557
628,OCF,-82.221,29.1636
629,OBE,-80.8498,27.2628
630,ORL,-81.3329,28.5455
631,MCO,-81.309,28.4294
632,OMN,-81.1136,29.3006
633,28J,-81.6889,29.6586
634,XFL,-81.2063,29.4674
635,ECP,-85.7956,30.3582
636,PFN,-85.6828,30.2121
637,TDR,-85.5765,30.07
638,COF,-80.61,28.235
639,NPA,-87.318,30.3533
640,PNS,-87.1869,30.4781
641,FPY,-83.5815,30.0708
642,40J,-83.5736,30.0719
643,PCM,-82.1642,28.0002
644,PMP,-80.111,26.2464
645,PGD,-81.9914,26.9172
646,2J9,-84.5574,30.5979
647,SPG,-82.627,27.7651
648,PIE,-82.6874,27.91
649,SFB,-81.2436,28.7797
650,SRQ,-82.5586,27.4014
651,SEF,-81.3416,27.4547
652,SGJ,-81.3397,29.9592
653,TLH,-84.3514,30.3935
654,TPA,-82.5403,27.9619
655,TPF,-82.4493,27.9156
656,VVG,-81.9698,28.9446
657,TIX,-80.7992,28.5148
658,1J0,-85.6014,30.8458
659,BCR,-85.6017,30.8438
660,PAM,-85.5754,30.0696
661,X26,-80.4959,27.8126
662,VDF,-82.3453,28.014
663,VNC,-82.4403,27.0716
664,VRB,-80.4179,27.6556
665,F45,-80.2223,26.8459
666,PBI,-80.0994,26.6847
667,NSE,-87.0219,30.7242
668,X60,-82.4719,29.3557
669,GIF,-81.7533,28.0629
670,SUA,-80.22,27.18
671,ZPH,-82.1559,28.2281
672,ABY,-84.1945,31.5355
673,AMG,-82.5066,31.5361
674,ACJ,-84.1889,32.1108
675,AHN,-83.3264,33.9486
676,PDK,-84.302,33.8756
677,FTY,-84.52,33.78
678,ATL,-84.4418,33.6301
679,DNL,-82.0382,33.4669
680,AGS,-81.9645,33.3699
681,BGE,-84.6369,30.9716
682,BHC,-82.3938,31.7138
683,DZJ,-83.9973,34.8544
684,BIJ,-84.8948,31.3975
685,BQK,-81.4665,31.2588
686,SSI,-81.3908,31.1522
687,6A1,-84.2507,32.5674
688,CZL,-84.9392,34.4554
689,CXU,-84.2352,31.2132
690,18A,-83.1308,34.3404
691,47A,-84.4239,34.3106
692,CTJ,-85.1523,33.6317
693,VPC,-84.8487,34.1232
694,CNI,-84.4239,34.3106
695,CWV,-81.8696,32.1951
696,48A,-83.2759,32.3994
697,CSG,-84.9422,32.5161
698,CKF,-83.7739,31.9888
699,AJR,-83.5567,34.4998
700,9A1,-83.8496,33.6325
701,CVC,-83.8474,33.6323
702,PUJ,-84.9406,33.912
703,DNN,-84.87,34.72
704,MGE,-84.5163,33.9153
705,17J,-84.8776,31.007
706,DQH,-82.8606,31.4767
707,DBN,-82.9853,32.5644
708,EZM,-83.1287,32.2164
709,EBA,-82.8175,34.0954
710,27A,-82.8159,34.0952
711,49A,-84.5271,34.6301
712,FZG,-83.2709,31.6839
713,LSF,-84.9913,32.3373
714,LHW,-81.5623,31.8891
715,GVL,-83.8303,34.2719
716,3J7,-83.139,33.5977
717,4A7,-84.3324,33.3891
718,HMP,-84.331,33.3899
719,AZE,-82.6474,31.8847
720,HOE,-82.7741,31.0559
721,SVN,-81.146,32.01
722,19A,-83.5616,34.1759
723,JZP,-84.4572,34.4535
724,JCA,-83.5583,34.1739
725,JES,-81.8825,31.554
726,9A5,-85.2903,34.6885
727,LGC,-85.0726,33.0089
728,LZU,-83.9624,33.9781
729,2J3,-82.3857,32.9865
730,MCN,-83.6492,32.6928
731,RYY,-84.5986,34.0131
732,MQW,-82.8794,32.0969
733,MHP,-82.081,32.3739
734,MLJ,-83.2407,33.1542
735,2J5,-81.9654,32.8935
736,D73,-83.6928,33.7825
737,VAD,-83.193,30.9678
738,MGR,-83.8032,31.0849
739,MUL,-83.7041,31.1377
740,CCO,-84.77,33.31
741,FFC,-84.5669,33.3553
742,PXE,-83.7673,32.5106
743,PIM,-84.8824,32.8407
744,RVJ,-82.1536,32.0595
745,RMG,-85.1611,34.3478
746,OKZ,-82.8382,32.9667
747,SAV,-81.2021,32.1276
748,6A2,-84.2749,33.227
749,TBR,-81.7369,32.4827
750,SBO,-82.3699,32.6091
751,JYL,-81.5971,32.6453
752,OPN,-84.2594,32.954
753,TVI,-83.8811,30.9018
754,HQU,-82.5164,33.5297
755,TMA,-83.4885,31.429
756,TOC,-83.2964,34.5928
757,VLD,-83.2767,30.7825
758,VDI,-82.37,32.19
759,WRB,-83.5918,32.6401
760,IIY,-82.8158,33.7794
761,AYS,-82.3955,31.2491
762,WDR,-83.6674,33.9829
763,PHSF,-155.5538,19.76
764,PHHN,-156.0156,20.7945
765,PHIK,-157.9224,21.3187
766,PHTO,-155.0485,19.7203
767,PHNL,-157.9224,21.3187
768,PHOG,-156.43,20.9
769,PHJR,-158.0703,21.3074
770,PHMU,-155.6743,19.9984
771,PHNG,-157.7629,21.4509
772,PHKO,-156.0456,19.7388
773,PHBK,-159.7851,22.0228
774,PHJH,-156.6748,20.963
775,PHNY,-156.9514,20.7856
776,PHLI,-159.3394,21.9785
777,PHMK,-157.0963,21.1529
778,PMDY,-177.3756,28.2082
779,PHHI,-158.0443,21.4776
780,AXA,-94.2724,43.0796
781,AMW,-93.6185,41.9904
782,IKV,-93.5695,41.6878
783,AIO,-95.0465,41.4059
784,ADU,-94.9204,41.6994
785,BNW,-93.8486,42.0486
786,BRL,-91.1255,40.7729
787,CIN,-94.7889,42.0444
788,CID,-91.7246,41.8829
789,TVK,-92.8983,40.6832
790,CNC,-93.3608,41.0184
791,CCY,-92.6132,43.073
792,CKP,-95.5538,42.7304
793,ICL,-95.0223,40.7242
794,CAV,-93.7593,42.743
795,CWI,-90.3328,41.8295
796,CBF,-95.7604,41.2611
797,CSQ,-94.3608,41.0188
798,DEH,-91.7433,43.2755
799,DNS,-95.38,41.9842
800,DSM,-93.6531,41.534
801,DBQ,-90.7091,42.3984
802,EST,-94.7476,43.4008
803,FFL,-91.9834,41.0521
804,FXY,-93.6237,43.2323
805,FOD,-94.2032,42.5497
806,FSW,-91.3267,40.6615
807,GGI,-92.7332,41.7097
808,HPT,-93.2244,42.7175
809,HNR,-95.3355,41.5834
810,IIB,-91.9504,42.4544
811,IOW,-91.5445,41.6394
812,IFA,-93.2651,42.4691
813,EOK,-91.4274,40.4615
814,OXV,-93.1114,41.2984
815,LWD,-93.9005,40.6306
816,LRJ,-96.1922,42.7754
817,MIW,-92.9163,42.1106
818,MCW,-93.3261,43.1544
819,MXO,-91.1605,42.2204
820,MPZ,-91.5122,40.9453
821,MUT,-91.1406,41.367
822,TNU,-93.019,41.6701
823,OLZ,-91.976,42.6831
824,ORC,-96.0606,42.9895
825,I75,-93.6876,41.0472
826,OOA,-92.4919,41.2273
827,OTM,-92.4446,41.1008
828,PEA,-92.9431,41.3989
829,PRO,-94.1637,41.8278
830,DVN,-90.5948,41.6133
831,RDK,-95.2624,41.0106
